Id,Serial number,device_code,device_name_en,device_name_fr,Model,Status,Facility code,Facility name_en,Facility name_fr,Department,Department_name_en,Department_name_fr,Room,Manufacturer code,Manufacturer name,Manufacture date,Supplier,Supplier name,Supply date,Cost,Currency,Donor,Obsolete,Warranty start,Warranty period (Months)
4255,11657312j,15136,Distilling Units,Distilling Units,n/a,OPERATIONAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4254,564297,15108,"Baths, Water","Baths, Water",n/a,OPERATIONAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4253,n/a,16384,"Mixers, Blood Tube","Mixers, Blood Tube",n/a,OPERATIONAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4252,02-0889,15108,"Baths, Water","Baths, Water",n/a,OPERATIONAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4251,D858000781,16503,"Cytometers, Automated, Flow, Sorting","Cytometers, Automated, Flow, Sorting",BD,OPERATIONAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,bdinf,BD FACSCOUNT,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4250,TNK00003220,15612,Water Purification Systems,Water Purification Systems,n/a,OPERATIONAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4249,00033406,23463,Centrifuge Rotors,Centrifuge Rotors,n/a,OPERATIONAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4248,152528,23463,Centrifuge Rotors,Centrifuge Rotors,n/a,FORDISPOSAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4247,n/a,22018,"Refrigerators, Laboratory, Multiuse, Walk-In","Refrigerators, Laboratory, Multiuse, Walk-In",n/a,OPERATIONAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4246,78.433.561.9,22018,"Refrigerators, Laboratory, Multiuse, Walk-In","Refrigerators, Laboratory, Multiuse, Walk-In",n/a,OPERATIONAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,Liebherr,LIEBHERR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4245,WCA002MH14,15136,Distilling Units,Distilling Units,n/a,OPERATIONAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,n/a,n/a,n/a,n/a,n/a,2006-03-06 00:00:00.0,n/a,n/a,n/a,false,n/a,n/a
4244,11489,18261,"Analyzers, Laboratory, Hematology, Cell Counting, Reticulocyte","Analyzers, Laboratory, Hematology, Cell Counting, Reticulocyte",n/a,OPERATIONAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,Sysmex,Sysmex,n/a,Pharmalab,Pharmalab,2014-03-03 00:00:00.0,n/a,n/a,n/a,false,n/a,n/a
4243,1E85427,15156,"Microscopes, Light, Laboratory","Microscopes, Light, Laboratory",n/a,OPERATIONAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,Olympus,Olympus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4242,50781,23463,Centrifuge Rotors,Centrifuge Rotors,228,FORDISPOSAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4241,n/a,23463,Centrifuge Rotors,Centrifuge Rotors,n/a,OPERATIONAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,QBC,QBC,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4240,3560088,23463,Centrifuge Rotors,Centrifuge Rotors,n/a,FORDISPOSAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,QBC,QBC,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4239,3116022251,15156,"Microscopes, Light, Laboratory","Microscopes, Light, Laboratory",n/a,OPERATIONAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,Zeiss,Zeiss,2011-01-01 00:00:00.0,n/a,n/a,n/a,n/a,n/a,n/a,false,2012-03-01 00:00:00.0,12
4238,1k03379,15156,"Microscopes, Light, Laboratory","Microscopes, Light, Laboratory",n/a,FORDISPOSAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,Olympus,Olympus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,2006-03-07 00:00:00.0,12
4237,9B0076,15156,"Microscopes, Light, Laboratory","Microscopes, Light, Laboratory",n/a,FORDISPOSAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,Olympus,Olympus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,2004-06-01 00:00:00.0,12
4236,12DSZ790394,12873,Oxygen Concentrators,Oxygen Concentrators,IRC5P02VAW,UNDERMAINTENANCE,380,Nyagatare HD,Nyagatare HD,Neonatology,Neonatology,Néonatologie,n/a,invacaire interantional LTD,invacaire international LTD,2012-04-01 00:00:00.0,AJ Costa,AJ Costa,2011-08-01 00:00:00.0,n/a,n/a,n/a,false,2014-03-03 00:00:00.0,24
4235,12dsz790546,12873,Oxygen Concentrators,Oxygen Concentrators,5p02vaw,OPERATIONAL,199,Gisenyi HD,Gisenyi HD,Accidents & Emergencies,Accidents & Emergencies,Accidents & Emergencies,emergencies,Invacare,Invacare,2011-01-01 00:00:00.0,invacaire interantional LTD,invacaire international LTD,2011-03-01 00:00:00.0,n/a,USD,n/a,false,n/a,n/a
4234,12dsz790235,12873,Oxygen Concentrators,Oxygen Concentrators,5po2vaw,OPERATIONAL,199,Gisenyi HD,Gisenyi HD,Maternity,Maternity,n/a,neonatology,inv,INVACARE,n/a,invacaire interantional LTD,invacaire international LTD,2011-01-01 00:00:00.0,n/a,USD,n/a,false,n/a,n/a
4233,12000489,18455,"Scales, Patient","Scales, Patient",MPB,OPERATIONAL,659,Kinihira DH,Kageyo CS,Out Patient,Out Patient,Out Patient,n/a,n/a,n/a,n/a,Kiph,Kipharma,n/a,n/a,n/a,n/a,false,n/a,n/a
4232,12000484,18455,"Scales, Patient","Scales, Patient",MPB,OPERATIONAL,659,Kinihira DH,Kageyo CS,Out Patient,Out Patient,Out Patient,n/a,n/a,n/a,n/a,Kiph,Kipharma,n/a,n/a,n/a,n/a,false,n/a,n/a
4231,12000468,18455,"Scales, Patient","Scales, Patient",MPB,OPERATIONAL,659,Kinihira DH,Kageyo CS,Out Patient,Out Patient,Out Patient,n/a,n/a,n/a,n/a,Kiph,Kipharma,n/a,n/a,n/a,n/a,false,n/a,n/a
4230,12000467,18455,"Scales, Patient","Scales, Patient",MPB,OPERATIONAL,659,Kinihira DH,Kageyo CS,Out Patient,Out Patient,Out Patient,n/a,n/a,n/a,n/a,Kiph,Kipharma,n/a,n/a,n/a,n/a,false,n/a,n/a
4229,12000464,18455,"Scales, Patient","Scales, Patient",MPB,OPERATIONAL,659,Kinihira DH,Kageyo CS,Out Patient,Out Patient,Out Patient,n/a,n/a,n/a,n/a,Kiph,Kipharma,n/a,n/a,n/a,n/a,false,n/a,n/a
4228,12000463,18455,"Scales, Patient","Scales, Patient",MPB,OPERATIONAL,659,Kinihira DH,Kageyo CS,Out Patient,Out Patient,Out Patient,n/a,n/a,n/a,n/a,Kiph,Kipharma,n/a,n/a,n/a,n/a,false,n/a,n/a
4227,12000462,18455,"Scales, Patient","Scales, Patient",MPB,OPERATIONAL,659,Kinihira DH,Kageyo CS,Out Patient,Out Patient,Out Patient,n/a,n/a,n/a,n/a,Kiph,Kipharma,n/a,n/a,n/a,n/a,false,n/a,n/a
4226,12000461,18455,"Scales, Patient","Scales, Patient",MPB,OPERATIONAL,659,Kinihira DH,Kageyo CS,Out Patient,Out Patient,Out Patient,n/a,n/a,n/a,n/a,Kiph,Kipharma,n/a,n/a,n/a,n/a,false,n/a,n/a
4225,130030,10208,Aspirators,Aspirators,F100,OPERATIONAL,659,Kinihira DH,Kageyo CS,Theatre,Operating theatre,Theatre,n/a,Fazzini,Fazzini,n/a,Kiph,Kipharma,n/a,n/a,n/a,n/a,false,n/a,n/a
4224,130025,10208,Aspirators,Aspirators,F100,OPERATIONAL,659,Kinihira DH,Kageyo CS,Theatre,Operating theatre,Theatre,n/a,Fazzini,Fazzini,n/a,Kiph,Kipharma,n/a,n/a,n/a,n/a,false,n/a,n/a
4223,n/a,11073,"Cuffs, Blood Pressure","Cuffs, Blood Pressure",cod,PARTIALLYOPERATIONAL,190,Murunda HD,Murunda HD,Accidents & Emergencies,Accidents & Emergencies,Accidents & Emergencies,n/a,Gima,Gima,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4222,n/a,11073,"Cuffs, Blood Pressure","Cuffs, Blood Pressure",cod32786,PARTIALLYOPERATIONAL,190,Murunda HD,Murunda HD,Maternity,Maternity,n/a,n/a,Gima,Gima,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4221,n/a,18767,"Guide Wires, Doppler","Guide Wires, Doppler",n/a,PARTIALLYOPERATIONAL,190,Murunda HD,Murunda HD,Maternity,Maternity,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4220,n/a,13462,"Scales, Infant","Scales, Infant",n/a,PARTIALLYOPERATIONAL,190,Murunda HD,Murunda HD,Neonatology,Neonatology,Néonatologie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4219,BD0200183,18767,"Guide Wires, Doppler","Guide Wires, Doppler",BABY CARE,PARTIALLYOPERATIONAL,190,Murunda HD,Murunda HD,Maternity,Maternity,n/a,Delivery,Mindray,Mindray,2009-03-01 00:00:00.0,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4218,00003400,20773,"Physiologic Monitor Modules, Noninvasive Blood Pressure","Physiologic Monitor Modules, Noninvasive Blood Pressure",00022012000200,OPERATIONAL,659,Kinihira DH,Kageyo CS,Maternity,Maternity,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4217,41485,17956,"Warming Units, Patient, Radiant, Infant","Warming Units, Patient, Radiant, Infant",WY 2209,OPERATIONAL,190,Murunda HD,Murunda HD,Neonatology,Neonatology,Néonatologie,n/a,Weyer,Weyer,2012-01-01 00:00:00.0,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4216,00000642,20773,"Physiologic Monitor Modules, Noninvasive Blood Pressure","Physiologic Monitor Modules, Noninvasive Blood Pressure",00022012000200,OPERATIONAL,659,Kinihira DH,Kageyo CS,Maternity,Maternity,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4215,400302208627,18451,"Balances, Electronic, Microanalytic","Balances, Electronic, Microanalytic",SOEHNLE,OPERATIONAL,190,Murunda HD,Murunda HD,Neonatology,Neonatology,Néonatologie,n/a,tobefixed,This manufacture need to be fixed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4214,00003445,20773,"Physiologic Monitor Modules, Noninvasive Blood Pressure","Physiologic Monitor Modules, Noninvasive Blood Pressure",00022012000200,OPERATIONAL,659,Kinihira DH,Kageyo CS,Maternity,Maternity,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4213,331200670,20773,"Physiologic Monitor Modules, Noninvasive Blood Pressure","Physiologic Monitor Modules, Noninvasive Blood Pressure",BP A100,OPERATIONAL,659,Kinihira DH,Kageyo CS,Maternity,Maternity,n/a,n/a,n/a,n/a,n/a,Kiph,Kipharma,n/a,n/a,n/a,n/a,false,n/a,n/a
4212,331200673,20773,"Physiologic Monitor Modules, Noninvasive Blood Pressure","Physiologic Monitor Modules, Noninvasive Blood Pressure",BP A100,OPERATIONAL,659,Kinihira DH,Kageyo CS,Maternity,Maternity,n/a,n/a,n/a,n/a,n/a,Kiph,Kipharma,n/a,n/a,n/a,n/a,false,n/a,n/a
4211,331200190,20773,"Physiologic Monitor Modules, Noninvasive Blood Pressure","Physiologic Monitor Modules, Noninvasive Blood Pressure",BP A100,OPERATIONAL,659,Kinihira DH,Kageyo CS,Maternity,Maternity,n/a,n/a,n/a,n/a,n/a,Kiph,Kipharma,n/a,n/a,n/a,n/a,false,n/a,n/a
4210,4000537,12281,Slit Lamps,Slit Lamps,topcon SL-D4,OPERATIONAL,659,Kinihira DH,Kageyo CS,Opthalmology,Opthalmology,Opthalmology,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4209,20110027309248,15723,"Chairs, Examination/Treatment, Ophthalmology","Chairs, Examination/Treatment, Ophthalmology",Topcon IS600,OPERATIONAL,659,Kinihira DH,Kageyo CS,Opthalmology,Opthalmology,Opthalmology,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4208,4266322,15169,Refractometers,Refractometers,Topcon RM 8900,OPERATIONAL,659,Kinihira DH,Kageyo CS,Opthalmology,Opthalmology,Opthalmology,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4207,n/a,10208,Aspirators,Aspirators,JE-DX23-I,UNDERMAINTENANCE,190,Murunda HD,Murunda HD,War,Warehouse,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4206,N5157322,12873,Oxygen Concentrators,Oxygen Concentrators,NEWLIFE,OPERATIONAL,190,Murunda HD,Murunda HD,War,Warehouse,n/a,n/a,Airsep,Airsep,n/a,n/a,n/a,n/a,n/a,n/a,INTERPLAST GERMANY,false,n/a,n/a
4205,B41742,13739,"Sterilizing Units, Dry Heat","Sterilizing Units, Dry Heat",U 25,OPERATIONAL,190,Murunda HD,Murunda HD,Sterilisation,Sterilisation,Sterilisation,n/a,Memmert,Memmert,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4204,SF812311381PA,18857,"Incubator/Radiant Warming Units, Infant, Mobile","Incubator/Radiant Warming Units, Infant, Mobile",LULLABY INCUBATOR,OPERATIONAL,190,Murunda HD,Murunda HD,Neonatology,Neonatology,Néonatologie,Neonatogy,tobefixed,This manufacture need to be fixed,2012-01-01 00:00:00.0,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4203,41564,18857,"Incubator/Radiant Warming Units, Infant, Mobile","Incubator/Radiant Warming Units, Infant, Mobile",WY 1100,OPERATIONAL,190,Murunda HD,Murunda HD,Neonatology,Neonatology,Néonatologie,Neonatogy,Weyer,Weyer,2012-01-01 00:00:00.0,Joe Achelis,Joe Achelis,n/a,n/a,n/a,n/a,false,n/a,n/a
4202,70049,16779,"Tubing, Suction","Tubing, Suction",F90,FORDISPOSAL,169,Mugonero HD,Mugonero HD,Internal medicine,Internal medicine,Internal medicine,n/a,Fazzini,Fazzini,n/a,n/a,n/a,n/a,n/a,n/a,n/a,true,n/a,n/a
4201,n/a,20821,"Analyzers, Laboratory, Clinical Chemistry/Immunoassay","Analyzers, Laboratory, Clinical Chemistry/Immunoassay",VISUAL 60VB0357,OPERATIONAL,169,Mugonero HD,Mugonero HD,Laboratory,Laboratory,Laboratory,n/a,secom,SECOMAM,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4200,n/a,22018,"Refrigerators, Laboratory, Multiuse, Walk-In","Refrigerators, Laboratory, Multiuse, Walk-In",n/a,OPERATIONAL,169,Mugonero HD,Mugonero HD,Laboratory,Laboratory,Laboratory,n/a,LG Medical Technologies,LG Medical Technologies,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4199,n/a,22018,"Refrigerators, Laboratory, Multiuse, Walk-In","Refrigerators, Laboratory, Multiuse, Walk-In",LAD0700M2CN1094,FORDISPOSAL,169,Mugonero HD,Mugonero HD,Laboratory,Laboratory,Laboratory,n/a,Fiochetti,Fiochetti,2011-01-01 00:00:00.0,Michiels,Michiels,n/a,n/a,n/a,n/a,false,2012-02-01 00:00:00.0,24
4198,n/a,15171,"Refrigerators, Blood Bank","Refrigerators, Blood Bank",Profil Line,OPERATIONAL,169,Mugonero HD,Mugonero HD,Laboratory,Laboratory,Laboratory,n/a,Liebherr,LIEBHERR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4197,n/a,15171,"Refrigerators, Blood Bank","Refrigerators, Blood Bank",Profil Line,OPERATIONAL,169,Mugonero HD,Mugonero HD,Laboratory,Laboratory,Laboratory,n/a,Liebherr,LIEBHERR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4196,0117779,12873,Oxygen Concentrators,Oxygen Concentrators,respironic,INSTOCK,116,Gitwe HD,Gitwe HD,Accidents & Emergencies,Accidents & Emergencies,Accidents & Emergencies,n/a,Respironics,Respironics,2012-03-01 00:00:00.0,Respironics,Respironics,2014-02-26 00:00:00.0,n/a,EUR,n/a,true,2014-02-26 00:00:00.0,156
4195,11502,18622,"Analyzers, Laboratory, Hematology, Blood Grouping, Semiautomated","Analyzers, Laboratory, Hematology, Blood Grouping, Semiautomated",xs500i,OPERATIONAL,169,Mugonero HD,Mugonero HD,Laboratory,Laboratory,Laboratory,n/a,Sysmex,Sysmex,n/a,Hass,Hass,n/a,n/a,n/a,n/a,false,n/a,n/a
4194,0117632,12873,Oxygen Concentrators,Oxygen Concentrators,respironic,INSTOCK,116,Gitwe HD,Gitwe HD,Administrative support services,Administrative support services,Administrative support services,stock,Respironics,Respironics,2012-02-01 00:00:00.0,Respironics,Respironics,2014-02-26 00:00:00.0,n/a,n/a,n/a,true,2014-02-26 00:00:00.0,156
4193,160276,20664,"Analyzers, Laboratory, Hematology, Blood/Component Volume","Analyzers, Laboratory, Hematology, Blood/Component Volume",16350,PARTIALLYOPERATIONAL,169,Mugonero HD,Mugonero HD,Laboratory,Laboratory,Laboratory,n/a,Human,Human,n/a,Pharmalab,Pharmalab,n/a,n/a,n/a,n/a,false,n/a,n/a
4192,0116708,12873,Oxygen Concentrators,Oxygen Concentrators,1020006,INSTOCK,101,Kaduha HD,Kaduha HD,Neonatology,Neonatology,Néonatologie,stock,n/a,n/a,2013-10-01 00:00:00.0,africh,AFRICHEM,n/a,n/a,n/a,n/a,false,n/a,n/a
4191,130049,12712,Nebulizers,Nebulizers,F-205,INSTOCK,101,Kaduha HD,Kaduha HD,Anaesthesiology and Reanimation,Anaesthesiology and Reanimation,Anaesthesiology and Reanimation,stock,Fazzini,Fazzini,2013-10-01 00:00:00.0,Fazzini,Fazzini,n/a,n/a,n/a,n/a,false,n/a,n/a
4190,111348,17148,"Oximeters, Pulse","Oximeters, Pulse",SA210,INSTOCK,101,Kaduha HD,Kaduha HD,Anaesthesiology and Reanimation,Anaesthesiology and Reanimation,Anaesthesiology and Reanimation,stock,Fazzini,Fazzini,2013-10-01 00:00:00.0,Fazzini,Fazzini,n/a,n/a,n/a,n/a,false,n/a,n/a
4189,111346,17148,"Oximeters, Pulse","Oximeters, Pulse",SA210,INSTOCK,101,Kaduha HD,Kaduha HD,Anaesthesiology and Reanimation,Anaesthesiology and Reanimation,Anaesthesiology and Reanimation,stock,Fazzini,Fazzini,2013-10-01 00:00:00.0,Fazzini,Fazzini,n/a,n/a,n/a,n/a,false,n/a,n/a
4188,BSNR 30510,13746,"Sterilizing Units, Steam","Sterilizing Units, Steam",ASB260BT,INSTOCK,101,Kaduha HD,Kaduha HD,Sterilisation,Sterilisation,Sterilisation,1,n/a,n/a,2013-01-01 00:00:00.0,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4187,LS01913,17157,"Refrigerators, Laboratory","Refrigerators, Laboratory",FCL300/2TS-AL2012,UNDERMAINTENANCE,101,Kaduha HD,Kaduha HD,Laboratory,Laboratory,Laboratory,stock,Michiels,Michiels,2013-01-01 00:00:00.0,Michiels,Michiels,n/a,n/a,n/a,n/a,false,n/a,n/a
4186,120816023,16384,"Mixers, Blood Tube","Mixers, Blood Tube",02215372,OPERATIONAL,101,Kaduha HD,Kaduha HD,Laboratory,Laboratory,Laboratory,hematology,Michiels,Michiels,n/a,Michiels,Michiels,2013-01-01 00:00:00.0,n/a,n/a,n/a,false,n/a,n/a
4185,141451,18450,"Balances, Electronic, Precision","Balances, Electronic, Precision",EU-C 2002BP,INSTOCK,101,Kaduha HD,Kaduha HD,Laboratory,Laboratory,Laboratory,stock,Michiels,Michiels,2013-01-01 00:00:00.0,Michiels,Michiels,2013-01-01 00:00:00.0,n/a,n/a,n/a,false,n/a,n/a
4184,ch 1001076,18450,"Balances, Electronic, Precision","Balances, Electronic, Precision",15401,INSTOCK,101,Kaduha HD,Kaduha HD,Laboratory,Laboratory,Laboratory,stock,Michiels,Michiels,n/a,Michiels,Michiels,2013-01-01 00:00:00.0,n/a,n/a,n/a,false,n/a,n/a
4183,B41 742,16828,"Sterilizing Units, Dry Heat, Inoculating Loop/Needle","Sterilizing Units, Dry Heat, Inoculating Loop/Needle",DIN 12880-KI.,OPERATIONAL,190,Murunda HD,Murunda HD,Sterilisation,Sterilisation,Sterilisation,n/a,Memmert,Memmert,n/a,n/a,n/a,n/a,n/a,n/a,interplast germany,false,n/a,n/a
4182,0111111,16911,"Sterilizing Units, Steam, Agar","Sterilizing Units, Steam, Agar",UNICLAVE 77,OPERATIONAL,190,Murunda HD,Murunda HD,Theatre,Operating theatre,Theatre,Sterilization,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4181,n/a,23719,Operating Table Pedestals,Operating Table Pedestals,n/a,UNDERMAINTENANCE,190,Murunda HD,Murunda HD,Theatre,Operating theatre,Theatre,Operating room,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,true,n/a,n/a
4180,n/a,10263,"Balances, Electronic","Balances, Electronic",n/a,UNDERMAINTENANCE,190,Murunda HD,Murunda HD,Neonatology,Neonatology,Néonatologie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4179,07233-9443-300,12873,Oxygen Concentrators,Oxygen Concentrators,Millenium M5,UNDERMAINTENANCE,190,Murunda HD,Murunda HD,Theatre,Operating theatre,Theatre,Operating room,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,INTERPLAST GERMANY,false,n/a,n/a
4178,CC,12636,"Monitoring Systems, Physiologic","Monitoring Systems, Physiologic",MEC-1200,UNDERMAINTENANCE,190,Murunda HD,Murunda HD,Accidents & Emergencies,Accidents & Emergencies,Accidents & Emergencies,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4177,0116439,12873,Oxygen Concentrators,Oxygen Concentrators,1020006,UNDERMAINTENANCE,101,Kaduha HD,Kaduha HD,Maternity,Maternity,n/a,store,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4176,1201129522,11001,"Positive Airway Pressure Units, Continuous","Positive Airway Pressure Units, Continuous",MR 850 AEK,OPERATIONAL,8,Muhima HD,Muhima HD,Neonatology,Neonatology,Néonatologie,Care ICU,Fisher Scientific,Fisher Scientific,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
