device_code,device_name_en,include_in_MEMMS,observations,device_description_en,device_description_fr,device_name_fr
-20834,Lens Edge Grinding Machine,No,Retired concept,,,
-20833,Lens Edging Machine,No,Retired concept,,,
-20832,Ophthalmic Starter Kits,No,Retired concept,,,
-20831,"Diagnostic/Treatment Kits, Ophthalmic",No,Retired concept,,,
-20830,Ophthalmic Diagnostic/Treatment Kits,No,Retired concept,,,
-20829,Vision Therapy Kits,No,Retired concept,,,
-20828,"Training Aids, Ophthalmologic, Therapy",No,Retired concept,,,
-20827,Wrist Inclinometers,No,Retired concept,,,
-20826,Bubble Inclinometers,No,Retired concept,,,
-20825,Gravity Inclinometers,No,Retired concept,,,
-20824,"Counters, Sponge",No,Retired concept,,,
-20823,Sponge Detectors,No,Retired concept,,,
-20822,Laboratory Slide Scanners,No,Retired concept,,,
-20821,"Computer-Aided Detection Systems, Lung Nodule",No,Retired concept,,,
-20820,"Computer-Aided Detection Systems, Breast Imaging, Magnetic Resonance",No,Retired concept,,,
-20819,"Computer-Aided Detection Systems, Breast Imaging, Mammography",No,Retired concept,,,
-20818,"Computer Aided Detection Systems, Blood Cell Classification",No,Retired concept,,,
-20817,"Computer-Aided Detection Systems, Prostate Tissue",No,Retired concept,,,
-20816,"Computer-Aided Detection Systems, Papanicolaou Smear",No,Retired concept,,,
-20815,Organic Contamination Luminometer Software,No,Retired concept,,,
-20814,Water Sample Adenosine Triphosphate (ATP) Luminometers,No,Retired concept,,,
-20813,"Sanitation Luminometers, Portable",No,Retired concept,,,
-20812,"Organic Contamination Luminometers, Portable",No,Retired concept,,,
-20811,"Steering Devices, Guide Wire",No,Retired concept,,,
-20810,"Manipulation Devices, Guidewire",No,Retired concept,,,
-20809,Single Balloon Gastrointestinal Tract Endoscopes,No,Retired concept,,,
-20808,Gastrointestinal Tract Single-Balloon Endoscopes,No,Retired concept,,,
-20807,Single Balloon Enteroscopes,No,Retired concept,,,
-20806,Digital Pathology Information Management Systems,No,Retired concept,,,
-20805,Fluorescent Imaging System,No,Retired concept,,,
-20804,Intraoperative Perfusion Assessment Systems,No,Retired concept,,,
-20803,Wheezing Measuring Instruments,No,Retired concept,,,
-20802,Cough Measuring Instruments,No,Retired concept,,,
-20801,Respiratory Acoustic Activity Recording Software,No,Retired concept,,,
-20800,Bronchial Sounds Recording Software,No,Retired concept,,,
-20799,Pulmonary Sounds Recording Software,No,Retired concept,,,
-20798,Wheezing Recording Software,No,Retired concept,,,
-20797,Cough Recording Software,No,Retired concept,,,
-20796,Respiratory Activity Recorders,No,Retired concept,,,
-20795,Bronchial Sounds Recorders,No,Retired concept,,,
-20794,Pulmonary Sounds Recorders,No,Retired concept,,,
-20793,Wheezing Recorders,No,Retired concept,,,
-20792,Cough Recorders,No,Retired concept,,,
-20791,Tricyclic Antidepressants Metabolites Screening Analyzers,No,Retired concept,,,
-20790,Tricyclic Antidepressants Urine Screening Analyzer,No,Retired concept,,,
-20789,THC (Cannabinoids) Urine Screening Analyzers,No,Retired concept,,,
-20788,Cannabinoids Urine Screening Analyzers,No,Retired concept,,,
-20787,Propoxyphene Urine Screening Analyzers,No,Retired concept,,,
-20786,Phencyclidine Urine Screening Analyzers,No,Retired concept,,,
-20785,Oxycodone Urine Screening Analyzers,No,Retired concept,,,
-20784,Opiates Urine Screening Analyzers,No,Retired concept,,,
-20783,Methamphetamine Urine Screening Analyzers,No,Retired concept,,,
-20782,Methadone Urine Screening Analyzers,No,Retired concept,,,
-20781,Cocaine Urine Screening Analyzers,No,Retired concept,,,
-20780,Benzodiazepines Urine Screening Analyzers,No,Retired concept,,,
-20779,Barbiturates Urine Screening Analyzers,No,Retired concept,,,
-20778,"Toxicology Analyzers, Rapid Test",No,Retired concept,,,
-20777,"Analyzers, Point-of-Care, Urine, Toxicology Screening",No,Retired concept,,,
-20768,"Assistive Devices, Dressing Aids",No,Retired concept,,,
-20767,Dental Computer-Aided Design and Manufacturing Systems,No,Retired concept,,,
-20766,Dental CAD/CAM Systems,No,Retired concept,,,
-20765,Navigation Bronchoscopes,No,Retired concept,,,
-20764,Peripheral Lung Image-Guided Video Bronchoscopes,No,Retired concept,,,
-20763,Extended-Reach Image Guided Video Bronchoscopes,No,Retired concept,,,
-20762,Pin-Hole Laser-Guided Dental Drilling Machines,No,Retired concept,,,
-20761,Laser-Guided Dental Drilling Machines,No,Retired concept,,,
-20760,Pancreatic Drainage Tubes,No,Retired concept,,,
-20759,Nano Knives,No,Retired concept,,,
-20758,Irreversible Electroporation Therapy Systems,No,Retired concept,,,
-20757,Cryogenic Mills,No,Retired concept,,,
-20756,OPA (Ortho-Phthalaldehyde)  Disinfectant Neutralizing Stations,No,Retired concept,,,
-20755,Glutaraldehyde Disinfectant Neutralizing Stations,No,Retired concept,,,
-20754,Aldehyde-Based Disinfectant Neutralizing Stations,No,Retired concept,,,
-20753,Sulfur Hexafluoride Ophthalmic Gases,No,Retired concept,,,
-20752,Digital Dental Impression System,No,Retired concept,,,
-20751,Dental Impression Light Scanning Systems,No,Retired concept,,,
-20750,Computer-Aided Dental Milling Machines,No,Retired concept,,,
-20749,Endoscope Lens Anti-Fogging Solutions/Gels,No,Retired concept,,,
-20748,Cardiac Tissue Ablation Cryotherapy Systems,No,Retired concept,,,
-20747,Cryotherapy Cardiac Balloon Ablation Catheters,No,Retired concept,,,
-20746,Cryotherapy Cardiac Ablation Catheters,No,Retired concept,,,
-20745,MRI Scanning/Positron Emission Tomography Systems,No,Retired concept,,,
-20744,PET/MRI Combined Systems,No,Retired concept,,,
-20743,PET/MRI Scanners,No,Retired concept,,,
-20742,Magnetic Resonance Imaging/ Positron Emission Tomography Combined Systems,No,Retired concept,,,
-20741,MRI/PET Scanning Combined Systems,No,Retired concept,,,
-20740,MRI/PET Scanners,No,Retired concept,,,
-20739,Positron Emission Tomography/ Magnetic Resonance Imaging Combined Systems,No,Retired concept,,,
-20738,"Hybrid Imaging Systems, MRI/PET",No,Retired concept,,,
-20737,Milling Machines,No,Retired concept,,,
-20736,Tissue Ablation Cryotherapy Systems,No,Retired concept,,,
-20735,"Assistive Dressing Aids, Clothing",No,Retired concept,,,
-20734,"Assistive Dressing Aids, Shoe",No,Retired concept,,,
-20733,"Assistive Dressing Aids, Stocking/Sock",No,Retired concept,,,
-20732,"Assistive Dressing Aids, Button/Zipper",No,Retired concept,,,
-20731,"Assistive Dressing Aids, Elastic Shoelace",No,Retired concept,,,
-20730,Polymerase Chain Reaction Tubes,No,Retired concept,,,
-20729,PCR Test Tubes,No,Retired concept,,,
-20728,Positron Emission Tomography/ Magnetic Resonance Imaging Combined Software,No,Retired concept,,,
-20727,PET/MRI Combined Software,No,Retired concept,,,
-20726,Magnetic Resonance Imaging/ Positron Emission Tomography Combined Software,No,Retired concept,,,
-20725,MRI/PET Combined Software,No,Retired concept,,,
-20724,Manual Dental Milling Machines,No,Retired concept,,,
-20723,Dental Drilling Machines,No,Retired concept,,,
-20722,"Dental Drilling Units, Laser-guided",No,Retired concept,,,
-20721,"Software, Dental Prosthesis Computer-Aided Mills",No,Retired concept,,,
-20720,"Software, Computer-Aided Design/Manufacturing System",No,Retired concept,,,
-20719,Dental Digital Impression Units,No,Retired concept,,,
-20718,"Scanning Systems, Light",No,Retired concept,,,
-20717,"Dental Mills, Computer-Aided",No,Retired concept,,,
-20716,Dental Prostheses CAD/CAM System Software,No,Retired concept,,,
-20715,Dental Mills,No,Retired concept,,,
-20714,"Milling Units, Cryogenic",No,Retired concept,,,
-20713,Pneumatic Retinopexy Surgery Gases,No,Retired concept,,,
-20712,Vitreous Cavity Treatment Gases,No,Retired concept,,,
-20711,Ophthalmic Treatment Gases,No,Retired concept,,,
-20710,"Intraocular Gas Cylinders, Sulfur Hexafluoride",No,Retired concept,,,
-20709,ISPAN Sulfur Hexafluoride Gases,No,Retired concept,,,
-20708,"Ophthalmic Gas, Vitreal, Pneumatic Retinopexy, Sulfur Hexafluoride",No,Retired concept,,,
-20707,Imaging Suites,No,Retired concept,,,
-20706,Surgical Bone Biopsy Mills,No,Retired concept,,,
-20705,Bone Crunchers,No,Retired concept,,,
-20704,Donor Bone Crushers,No,Retired concept,,,
-20703,Dental Bone Mills,No,Retired concept,,,
-20702,Dental Bone Grinders,No,Retired concept,,,
-20701,Bone Mills,No,Retired concept,,,
-20700,Pharmaceutical Grinders,No,Retired concept,,,
-20699,Laboratory Grinders,No,Retired concept,,,
-20698,Pharmaceutical Mills,No,Retired concept,,,
-20697,Laboratory Mills,No,Retired concept,,,
-20696,Grinders,No,Retired concept,,,
-20695,"Tubes, Pancreatic Drainage",No,Retired concept,,,
-20694,"Neutralizing Stations, Disinfectant",No,Retired concept,,,
-20693,Disinfectant Neutralizing Stations,No,Retired concept,,,
-20692,Glutaraldehyde Neutralizer Station,No,Retired concept,,,
-20691,Electroporation Surgical Units,No,Retired concept,,,
-20690,Elastic Shoe Laces,No,Retired concept,,,
-20689,Elastic Shoelaces,No,Retired concept,,,
-20688,Button Hooks,No,Retired concept,,,
-20687,Button Pullers,No,Retired concept,,,
-20686,Zipper Pullers,No,Retired concept,,,
-20685,Stocking Dressing Aids,No,Retired concept,,,
-20684,Sock Dressing Aids,No,Retired concept,,,
-20683,"Shoehorns, Extended-Reach",No,Retired concept,,,
-20682,Shoehorn Dressing Aids,No,Retired concept,,,
-20681,Long-Handled Shoehorns,No,Retired concept,,,
-20680,"Dressing Sticks, Garment",No,Retired concept,,,
-20679,Electromagnetic Navigation Bronchoscopy Systems,No,Retired concept,,,
-20678,ENB (Electromagnetic Navigation Bronchoscopes),No,Retired concept,,,
-20677,Electromagnetic Navigation Bronchoscopes,No,Retired concept,,,
-20676,"Stereotactic Systems, Image Guided, Bronchoscope",No,Retired concept,,,
-20675,Urinary Bladder Tissue Ablation Cryotherapy Systems,No,Retired concept,,,
-20674,Prostate Tissue Ablation Cryotherapy Systems,No,Retired concept,,,
-20673,Cryoablation Systems,No,Retired concept,,,
-20672,Liposuction Kits,No,Retired concept,,,
-20671,Lipokits,No,Retired concept,,,
-20670,Lipo Kits,No,Retired concept,,,
-20669,Fat Transfer Units,No,Retired concept,,,
-20668,Fat Transfer Systems,No,Retired concept,,,
-20667,Fat Grafting Units,No,Retired concept,,,
-20666,Adipose Tissue Transfer Units,No,Retired concept,,,
-20665,"Anti-Fogging Solutions/Gels, Sterile",No,Retired concept,,,
-20664,Laparoscope Lens Anti-Fogging Solutions/Gels,No,Retired concept,,,
-20662,Anti-Fogging Sprays,No,Retired concept,,,
-20661,Anti-Fogging Gels,No,Retired concept,,,
-20660,Anti-Fogging Solutions,No,Retired concept,,,
-20657,"Prosthesis Design/Manufacturing Systems, Computer-Aided",No,Retired concept,,,
-20651,Unit-Dose Medication Carts,No,Retired concept,,,
-20650,Medication Carts,No,Retired concept,,,
-20649,Medicine Carts,No,Retired concept,,,
-20648,Handtrucks,No,Retired concept,,,
-20640,"Suture Units, Automatic",No,Retired concept,,,
-20639,Utility Carts,No,Retired concept,,,
-20638,Service Carts,No,Retired concept,,,
-20637,Central Supply Carts,No,Retired concept,,,
-20636,"Leg Bag Emptiers, Pump",No,Retired concept,,,
-20635,"Palate Protectors, Neonatal",No,Retired concept,,,
-20634,"Palate Guards, Neonatal",No,Retired concept,,,
-20633,Laboratory Glassware Ballasting Rings,No,Retired concept,,,
-20632,Esophageal Sphincter Automated Suture Units,No,Retired concept,,,
-20631,"Endoscopic Suturing Systems, Lower Esophageal Sphincter",No,Retired concept,,,
-20630,"Endoscopic Sewing Machines, Lower Esophageal Sphincter",No,Retired concept,,,
-20629,Collagen Mesh,No,Retired concept,,,
-20628,Noninvasive Breast Cell Samplers,No,Retired concept,,,
-20627,"Cell Samplers, Breast, Noninvasive",No,Retired concept,,,
-20626,"Breast Cell Samplers, Noninvasive",No,Retired concept,,,
-20625,Filing Carts,No,Retired concept,,,
-20624,Treatment Carts,No,Retired concept,,,
-20623,Procedure Carts,No,Retired concept,,,
-20622,Endoscopy Procedure Carts,No,Retired concept,,,
-20621,Video Endoscopy Treatment Carts,No,Retired concept,,,
-20620,Sterile Product Central Supply Carts,No,Retired concept,,,
-20619,Foldable Multipurpose Central Supply Carts,No,Retired concept,,,
-20618,"Utility Carts, Open, Wire",No,Retired concept,,,
-20617,"Service Carts, Open, Wire",No,Retired concept,,,
-20616,"Utility Carts, Open, Hard Plastic",No,Retired concept,,,
-20615,"Service Carts, Open, Solid Metal",No,Retired concept,,,
-20614,"Utility Carts, Open, Solid Metal",No,Retired concept,,,
-20613,"Service Carts, Open, Hard Plastic",No,Retired concept,,,
-20612,"Utility Carts, Platform",No,Retired concept,,,
-20611,"Service Carts, Platform",No,Retired concept,,,
-20610,"Utility Carts, Enclosed",No,Retired concept,,,
-20609,"Service Carts, Enclosed",No,Retired concept,,,
-20608,"Utility Carts, Pallet",No,Retired concept,,,
-20607,"Service Carts, Pallet",No,Retired concept,,,
-20606,Pallet Carts,No,Retired concept,,,
-20605,Multipurpose Central Supply Carts,No,Retired concept,,,
-20604,Single-Patient Dose Medication Carts,No,Retired concept,,,
-20603,Wound Care Treatment Carts,No,Retired concept,,,
-20602,Dentistry Carts,No,Retired concept,,,
-20601,Dental Care Carts,No,Retired concept,,,
-20600,Sterile Wrap Central Supply Carts,No,Retired concept,,,
-20599,"Utility Carts, Open",No,Retired concept,,,
-20598,"Service Carts, Open",No,Retired concept,,,
-20597,"Carts, Service/Utility, Platform, Pallet",No,Retired concept,,,
-20596,Pallet Jacks,No,Retired concept,,,
-20595,Utility Trucks,No,Retired concept,,,
-20594,Heavy-Duty Platform Carts,No,Retired concept,,,
-20593,Radiographic Cassette Filing Carts,No,Retired concept,,,
-20592,Radiographic Film Filing Carts,No,Retired concept,,,
-20591,Drug Carts,No,Retired concept,,,
-20590,"Carts, Medication",No,Retired concept,,,
-20589,"L-Carts, Foldable",No,Retired concept,,,
-20588,Platform Carts,No,Retired concept,,,
-20587,L-Carts,No,Retired concept,,,
-20586,"Reagents, Molecular Assay, Tumor Marker, Gene Mutation, K-ras",No,Retired concept,,,
-20585,"Suture Units, Endoscopic",No,Retired concept,,,
-20584,Arthroscopy Suture Units,No,Retired concept,,,
-20583,"Suture Units, Arthroscopic",No,Retired concept,,,
-20582,Breast Cell Pap Test,No,Retired concept,,,
-20581,"Mesh, Surgical, Collagen",No,Retired concept,,,
-20580,"Vinyl Coated Lead Rings, Laboratory Glassware",No,Retired concept,,,
-20579,Ballasting Rings,No,Retired concept,,,
-20578,IV Solution Container Supply Carts,No,Retired concept,,,
-20577,IV Solution Bag Supply Carts,No,Retired concept,,,
-20576,Intravenous Solution Container Supply Cart,No,Retired concept,,,
-20575,Intravenous Solution Bag Supply Carts,No,Retired concept,,,
-20574,Splint Transport Carts,No,Retired concept,,,
-20573,Splint Storage Carts,No,Retired concept,,,
-20572,Cast Transport Carts,No,Retired concept,,,
-20571,Cast Storage Carts,No,Retired concept,,,
-20570,Splinting Carts,No,Retired concept,,,
-20569,Casting Carts,No,Retired concept,,,
-20568,Arthroscopy Procedure Carts,No,Retired concept,,,
-20567,Radium Transport Carts,No,Retired concept,,,
-20566,Isotope Transport Carts,No,Retired concept,,,
-20565,Radiopharmaceutical Transport Carts,No,Retired concept,,,
-20564,PET Isotope Transport Carts,No,Retired concept,,,
-20563,Radioactive Material Transport Carts,No,Retired concept,,,
-20562,Radioactive Material Storage Carts,No,Retired concept,,,
-20561,Sterilization Resistant Carts,No,Retired concept,,,
-20560,Washer Resistant Carts,No,Retired concept,,,
-20559,Tool Transport Carts,No,Retired concept,,,
-20558,Tool Storage Carts,No,Retired concept,,,
-20557,Physiologic Monitor Transport Carts,No,Retired concept,,,
-20556,Physiologic Monitor Storage Carts,No,Retired concept,,,
-20555,Multiple Gas Cylinder Transport Carts,No,Retired concept,,,
-20554,Multiple Gas Cylinder Storage Carts,No,Retired concept,,,
-20553,Double Gas Cylinder Transport Carts,No,Retired concept,,,
-20552,Double Gas Cylinder Storage Carts,No,Retired concept,,,
-20551,Single Gas Cylinder Transport Carts,No,Retired concept,,,
-20550,Single Gas Cylinder Storage Carts,No,Retired concept,,,
-20549,Gas Cylinder Transport Carts,No,Retired concept,,,
-20548,Gas Cylinder Storage Carts,No,Retired concept,,,
-20547,"Carts, Storage/Transport, Book",No,Retired concept,,,
-20546,Magazine Transport Carts,No,Retired concept,,,
-20545,Magazine Storage Carts,No,Retired concept,,,
-20544,Book Transport Carts,No,Retired concept,,,
-20542,Local Transport Carts,No,Retired concept,,,
-20541,Temporary Storage Carts,No,Retired concept,,,
-20540,Dollies,No,Retired concept,,,
-20539,Hand Trucks,No,Retired concept,,,
-20538,FDP Reagents,No,Retired concept,,,
-20531,"Infusion Pumps, Patient-Controlled Analgesic",No,Retired concept,,,
-20524,"Infusion Pumps, Syringe, Oxytocin",No,Retired concept,,,
-20523,"Infusion Pumps, Micro",No,Retired concept,,,
-20522,"Infusion Pumps, Implantable",No,Retired concept,,,
-20515,Multitherapy Infusion Pumps,No,Retired concept,,,
-20514,Syringe Multitherapy Infusion Pumps,No,Retired concept,,,
-20513,Vascular Infusion/Withdrawal Pumps,No,Retired concept,,,
-20512,Ambulatory Multitherapy Infusion Pumps,No,Retired concept,,,
-20511,"Analgesic Infusion Pumps, Patient-Controlled",No,Retired concept,,,
-20510,"Insulin Infusion Pumps, Ambulatory",No,Retired concept,,,
-20509,Single-Patient Elastomeric Ambulatory Infusion Pumps,No,Retired concept,,,
-20508,Elastomeric Single-Use  Infusion Pumps,No,Retired concept,,,
-20507,"Vascular Closure Cuffs, External Compression",No,Retired concept,,,
-20506,"External Compression Cuffs, Vascular Closure",No,Retired concept,,,
-20505,Vibration Training Machines,No,Retired concept,,,
-20504,Whole Body Vibration Therapy Units,No,Retired concept,,,
-20503,Vibration Platforms,No,Retired concept,,,
-20502,Laparoscopy Retrieval Pouches,No,Retired concept,,,
-20501,"Retrieval Pouches, Laparoscopy",No,Retired concept,,,
-20500,"Retrieval Sacs, Laparoscopy",No,Retired concept,,,
-20499,Laparoscopy Retrieval Sacs,No,Retired concept,,,
-20498,Laparoscopy Retrieval Bags,No,Retired concept,,,
-20497,Laparoscopic Specimen Retrieval Bags,No,Retired concept,,,
-20496,Single-Patient Electronic Ambulatory Infusion Pumps,No,Retired concept,,,
-20495,"Sodium Hyaluronate Solutions, Bladder Instillation",No,Retired concept,,,
-20494,Sodium Hyaluronate Intravesical Solutions,No,Retired concept,,,
-20493,Single-Channel Large Volume Infusion Pumps,No,Retired concept,,,
-20492,Intrathecal Analgesic Infusion Pumps,No,Retired concept,,,
-20491,"Analgesic Infusion Pumps, Implantable, Intrathecal",No,Retired concept,,,
-20490,"Chondroitin Sulfate Solutions, Bladder Instillation",No,Retired concept,,,
-20489,Chondroitin Sulfate Intravesical Solutions,No,Retired concept,,,
-20488,Large Volume Multitherapy Infusion Pumps,No,Retired concept,,,
-20487,Hyperbaric Chamber Compatible Large Volume Infusion Pumps,No,Retired concept,,,
-20486,Magnetic Resonance Imaging Compatible Syringe Infusion Pumps,No,Retired concept,,,
-20485,MRI Compatible Syringe Infusion Pumps,No,Retired concept,,,
-20484,"Ambulatory Multitherapy Infusion Pumps, Electronic",No,Retired concept,,,
-20483,"Insulin Infusion Pumps, Implantable",No,Retired concept,,,
-20482,Analgesic Infusion Pumps,No,Retired concept,,,
-20481,"Patient-Controlled Analgesia Units, Ambulatory",No,Retired concept,,,
-20480,"PCA Pumps, Ambulatory",No,Retired concept,,,
-20479,"Analgesic Infusion Pumps, Implantable",No,Retired concept,,,
-20478,Anesthesia Syringe Infusion Pumps,No,Retired concept,,,
-20477,Laboratory Infusion/ Withdrawal Pumps,No,Retired concept,,,
-20476,Withdrawal Pumps,No,Retired concept,,,
-20475,Infusion-Withdrawal Pumps,No,Retired concept,,,
-20474,"Infusion Pumps, High-Flow, Warming",No,Retired concept,,,
-20473,Spasticity Drug Infusion Implantable Pumps,No,Retired concept,,,
-20472,Baclofen Infusion Implantable Pumps,No,Retired concept,,,
-20471,"Infusion Pumps, Ambulatory, Insulin",No,Retired concept,,,
-20470,"Infusion Pumps, Multitherapy, Ambulatory, Single-Use",No,Retired concept,,,
-20469,Single-Use Ambulatory Infusion Pumps,No,Retired concept,,,
-20468,"Infusion Pumps, Ambulatory",No,Retired concept,,,
-20467,Microinfusion Pumps,No,Retired concept,,,
-20466,"Infusion Pumps, Syringe",No,Retired concept,,,
-20465,Magnetic Resonance Imaging Compatible Multitherapy Infusion Pumps,No,Retired concept,,,
-20464,MRI Compatible Large Volume Infusion Pumps,No,Retired concept,,,
-20462,"Infusion Pumps, Multichannel",No,Retired concept,,,
-20461,Single Channel Infusion Pumps,No,Retired concept,,,
-20460,Multichannel Infusion Pumps,No,Retired concept,,,
-20459,"Infusion Pumps, General-Purpose",No,Retired concept,,,
-20458,Osteoporosis Vibration Therapy Units,No,Retired concept,,,
-20457,Glycosaminoglycan (GAG) Solutions,No,Retired concept,,,
-20456,Cystitis Relief Solutions,No,Retired concept,,,
-20455,Intravesical Solutions,No,Retired concept,,,
-20454,"Vascular Closure Devices, External Compression",No,Retired concept,,,
-20453,Vascular Closure Devices,No,Retired concept,,,
-20447,Eye Lubrication Drops,No,Retired concept,,,
-20446,Eye Lubrication Creams,No,Retired concept,,,
-20445,Eye Lubrication Gels,No,Retired concept,,,
-20444,Eye Lubrication Solutions,No,Retired concept,,,
-20443,"Lubricants, Ophthalmic",No,Retired concept,,,
-20442,Ophthalmic Lubricants,No,Retired concept,,,
-20441,"Lubricants, Eye",No,Retired concept,,,
-20440,Eye Lubrication Ointments,No,Retired concept,,,
-20439,Eye Lubricants,No,Retired concept,,,
-20438,"Ophthalmic Gels, Eye Surface, Lubrication",No,Retired concept,,,
-20437,Artificial Tears,No,Retired concept,,,
-20431,Defibrillator Vests,No,Retired concept,,,
-20430,"Hooks, Cerumen",No,Retired concept,,,
-20429,Cerumen Hooks,No,Retired concept,,,
-20423,Computer Keyboards,No,Retired concept,,,
-20422,"Cardioverter-Defibrillators, External, Wearable",No,Retired concept,,,
-20421,Computer Mice,No,Retired concept,,,
-20420,Drug Delivery Vaginal Rings,No,Retired concept,,,
-20419,Phlebectomy Endoscopic Morcellators,No,Retired concept,,,
-20418,Computer Joysticks,No,Retired concept,,,
-20417,Computer Touchscreens,No,Retired concept,,,
-20416,Computer Trackballs,No,Retired concept,,,
-20415,Endoscopic Gynecology Morcellators,No,Retired concept,,,
-20414,"Vaginal Rings, Contraceptive",No,Retired concept,,,
-20413,Wearable Defibrillators,No,Retired concept,,,
-20412,Computer Mouse,No,Retired concept,,,
-20411,"Keyboards, Computer/Computerized System",No,Retired concept,,,
-20410,Computer Peripherals,No,Retired concept,,,
-20409,Computer Input Devices,No,Retired concept,,,
-20408,Computer Pointing Devices,No,Retired concept,,,
-20407,Urethral Sling,No,Retired concept,,,
-20401,Temporal Artery Infrared Thermometer,No,Retired concept,,,
-20395,"Tubes, X-Ray",No,Retired concept,,,
-20389,Uterine Cervix Cytology Spatulas,No,Retired concept,,,
-20388,Aylesbury Spatulas,No,Retired concept,,,
-20387,Ayre Spatulas,No,Retired concept,,,
-20386,"Biopsy Spatulas, Uterine Cervix",No,Retired concept,,,
-20380,"Plugs, Ear",No,Retired concept,,,
-20378,Disposable Medical Gowns,No,Retired concept,,,
-20377,Reusable Medical Gown,No,Retired concept,,,
-20376,Patient Gowns,No,Retired concept,,,
-20375,Disposable Patient Gowns,No,Retired concept,,,
-20374,Reusable Patient Gowns,No,Retired concept,,,
-20373,"Surgical Spatulas, Brain",No,Retired concept,,,
-20372,"Spatulas, Neurosurgical",No,Retired concept,,,
-20371,Neurosurgical Spatulas,No,Retired concept,,,
-20370,Brain Surgical Spatulas,No,Retired concept,,,
-20369,"Surgical Spatulas, Lung",No,Retired concept,,,
-20368,Lung Surgical Spatulas,No,Retired concept,,,
-20367,Middle Ear Surgical Spatulas,No,Retired concept,,,
-20366,Hospital Grade Electrical Receptacles,No,Retired concept,,,
-20365,"Plugs, Explosion-Proof",No,Retired concept,,,
-20364,Ground Connection Electric Plugs,No,Retired concept,,,
-20363,Hospital Grade Electric Plugs,No,Retired concept,,,
-20362,Locking Electric Plugs,No,Retired concept,,,
-20361,Explosion-Proof Electrical Outlets,No,Retired concept,,,
-20360,Explosion-Proof Electric Receptacles,No,Retired concept,,,
-20359,Ground Connection Electrical Outlets,No,Retired concept,,,
-20358,Ground Connection Electrical Sockets,No,Retired concept,,,
